cache_key,status,title,author,isbn,matched_title,matched_author,confidence,source
die drei kids band 050 schatz der piraten|boris pfeiffer,checked,Die drei ??? Kids - Band 050 - Schatz der Piraten,"Pfeiffer, Boris",,,,,not_found
der kleine ritter trenk|kirsten boie,checked,Der kleine Ritter Trenk,"Boie, Kirsten",,,,,not_found
die flaschengeistprufung|von vogel maja,checked,Die Flaschengeistprüfung,von Vogel Maja,,,,,not_found
schandung band 2|jussi adler olsen,checked,Schändung - Band 2,"Adler-Olsen, Jussi",,,,,not_found
erbarmen band 1|jussi adler olsen,checked,Erbarmen - Band 1,"Adler-Olsen, Jussi",,,,,not_found
erlosung band 3|jussi adler olsen,checked,Erlösung - Band 3,"Adler-Olsen, Jussi",,,,,not_found
aschenputtel|kristina ohlsson,checked,Aschenputtel,"Ohlsson, Kristina",,,,,not_found
wie man 13 wird und uberlebt|pete johnson,found,Wie man 13 wird und überlebt,"Johnson, Pete",9783844924633,Wie man 13 wird und überlebt Pete Johnson,"Johnson, Pete",0.8587,dnb
seekers die suche beginnt|erin hunter,checked,"Seekers, Die Suche beginnt","Hunter, Erin",,,,,not_found
die tribute von panem band 02 gefahrliche liebe|suzanne collins,checked,Die Tribute von Panem - Band 02 - gefährliche Liebe,"Collins, Suzanne",,,,,not_found
wir kinder vom bahnhof zoo|f christiane,checked,Wir Kinder vom Bahnhof Zoo,"Christiane, F",,,,,not_found
bitte zweimal wolke 7|jutta wilke,found,Bitte zweimal Wolke 7,"Wilke, Jutta",9783570402177,Bitte zweimal Wolke 7 Jutta Wilke,"Wilke, Jutta",0.8333,dnb
mein lotta leben band 01 alles voller kaninchen|alice pantermuller,checked,Mein Lotta Leben - Band 01 - Alles voller Kaninchen,"Pantermüller, Alice",,,,,not_found
dork diaries band 03 nikkis phanomenaler auftritt|rachel russell,checked,Dork Diaries - Band 03 - Nikkis phänomenaler Auftritt,"Russell, Rachel",,,,,not_found
die wilden huhner band 004 und das gluck der erde|cornelia funke,found,Die wilden Hühner - Band 004 - und das Glück der Erde,"Funke, Cornelia",9783751300933,Die Wilden Hühner und das Glück der Erde Cornelia Funke,"Funke, Cornelia",0.8269,dnb
das mit mir und romeo|dagmar chidolue,checked,Das mit mir und Romeo,"Chidolue, Dagmar",,,,,not_found
magic girls der dunkle verrater|marliese arold,found,"Magic Girls, der dunkle Verräter","Arold, Marliese",9783760783550,Magic girls 9. Der dunkle Verräter Marliese Arold,"Arold, Marliese",0.8386,dnb
