cache_key,title,author,found,status,isbn,isbn_type,matched_title,matched_author,google_id
ronja raubertochter|astrid lindgren,Ronja Räubertochter,Astrid Lindgren,true,found,9783486808179,ISBN_13,"Astrid Lindgren, Ronja Räubertochter",Sonja Müller-Schamell,,,https://books.google.com/books/content?id=I0xvSQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,I0xvSQAACAAJ
der kleine drache und der monsterhund|meyer dietrich inge,Der kleine Drache und der Monsterhund,Meyer-Dietrich Inge,true,found,9783473385393,ISBN_13,Der kleine Drache und der Monsterhund,"Inge Meyer-Dietrich, Almud Kunert",Dogs,,https://books.google.com/books/content?id=Ww80SQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Ww80SQAACAAJ
verruckt nach emma|maja von vogel,Verrückt nach Emma,Maja von Vogel,true,found,9783781722286,ISBN_13,Verrückt nach Emma,Maja von Vogel,,Neues aus Emmas kunterbuntem Leben: Jetzt hat sie auch noch die Klassenkasse verschlampt und muss Geld verdienen ... Ab 11.,https://books.google.com/books/content?id=R1aCJwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,R1aCJwAACAAJ
robinson crusoe|daniel defoe,Robinson Crusoe,Daniel Defoe,true,found,9786052942932,ISBN_13,Robinson Crusoe - Daniel Defoe (Stage-2),Daniel Defoe,Fiction,"R obinson Crusoe by Daniel Defoe is one of the first adventure stories ever written. It chronicles Crusoe, and eventually his servant Friday, after he becomes shipwrecked on an island. Not just a piece of literary history, Crusoe is also a thrilling tale and an excellent commentary on imperialism and the foundation of...",https://books.google.com/books/content?id=gTP-DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,gTP-DwAAQBAJ
funf freunde und der hexenring band 053|enid blyton,Fünf Freunde - und der Hexenring - Band 053,Enid Blyton,false,not_found,,,,,,,,
funf freunde auf hoher see band 054|enid blyton,Fünf Freunde - auf hoher See - Band 054,Enid Blyton,false,not_found,,,,,,,,
viel larm um lila die fabelhaften vier|martina dierks,"Viel Lärm um Lila, die fabelhaften Vier",Martina Dierks,true,found,9783841500304,ISBN_13,Die fabelhaften Vier,Martina Dierks,,,https://books.google.com/books/content?id=8ujxpwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,8ujxpwAACAAJ
vergebung band 3|stieg larsson,Vergebung Band 3,Stieg Larsson,false,not_found,,,,,,,,
die tore der welt|ken follett,Die Tore der Welt,Ken Follett,true,found,9783838701134,ISBN_13,Die Tore der Welt,Ken Follett,Architecture,"England im Jahre 1327. Vier junge Menschen versuchen in England ihr Glück zu machen: der rebellische Merthin, ein Nachfahre des großen Baumeisters Jack. Sein Bruder Ralph, der in den Ritterstand aufstrebt. Das Mädchen Caris, das sich nach Freiheit sehnt. Und Gwenda, die Tochter eines Taglöhners, die nur der Liebe folg...",https://books.google.com/books/content?id=xGWLIfT477EC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,xGWLIfT477EC
verdammnis band 2|stieg larsson,"Verdammnis, Band 2",Stieg Larsson,false,not_found,,,,,,,,
verblendung band 1|stieg larsson,"Verblendung, Band 1",Stieg Larsson,false,not_found,,,,,,,,
das magische baumhaus band 014 im land der|mary pope osborne,Das magische Baumhaus - Band 014 - Im Land der,Mary Pope Osborne,false,not_found,,,,,,,,
