cache_key,title,author,found,status,isbn,isbn_type,matched_title,matched_author,google_id
ronja raubertochter|astrid lindgren,Ronja Räubertochter,Astrid Lindgren,true,found,9783486808179,ISBN_13,"Astrid Lindgren, Ronja Räubertochter",Sonja Müller-Schamell,,,https://books.google.com/books/content?id=I0xvSQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,I0xvSQAACAAJ
mein freund der orca|annette moser,"Mein Freund, der Orca",Annette Moser,true,found,9783785574355,ISBN_13,"Mein Freund, der Orca",Annette Moser,,"Wie unheimlich! Erst verfolgen Alex und Oliver mit ihrem Ruderboot ein verdächtiges Schiff, dann werden sie von einem Seeungeheuer angegriffen! Der Beginn eines spannenden Abenteuers, an dessen Ende die Freunde sogar einen Orca aus der Gefangenschaft befreien können! Zum Vor- und Selberlesen ab 6.",https://books.google.com/books/content?id=2K9pkQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2K9pkQEACAAJ
nele band 006 und der indische prinz|usch luhn,Nele - Band 006 - und der indische Prinz,Usch Luhn,false,not_found,,,,,,,,
das magische baumhaus band 045 die feder der|mary pope osborne,Das magische Baumhaus - Band 045 - Die Feder der,Mary Pope Osborne,false,not_found,,,,,,,,
storenfrieda und der ruckwartsflohmarkt|jana frey,Störenfrieda und der Rückwärtsflohmarkt,Jana Frey,true,found,9783401066394,ISBN_13,Störenfrieda und der Rückwärtsflohmarkt,Jana Frey,Girls,"Viel Aufregung für die Grossfamilie der 7-jährigen, kessen Frieda. 10 neue Episoden erzählen z.B. von Friedas Flohmarktverkauf von nur scheinbar Überflüssigem oder dem Überlisten des verhassten Babysitters. Frech-witziger Spass zum Vorlesen ab 6 oder für fortgeschrittene Leseanfänger ab 8.",https://books.google.com/books/content?id=WKG4pwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,WKG4pwAACAAJ
storenfrieda auf hangebauchschweinsafari|jana frey,Störenfrieda auf Hängebauchschweinsafari,Jana Frey,true,found,9783401067056,ISBN_13,Störenfrieda auf Hängebauchschweinsafari,Jana Frey,Girls,"ÄStörenfriedaä wird die 7-jährige kesse Frieda genannt, die in 10 neuen Episoden mit ihren Ideen ihre Grossfamilie, den knurrigen Nachbarn und alle anderen auf Trab hält. Ein turbulenter Spass zum Vorlesen ab 6 oder für fortgeschrittene Leseanfänger ab 8.",,0wLKMgEACAAJ
storenfrieda und der glitzerclub|jana frey,Störenfrieda und der Glitzerclub,Jana Frey,true,found,9783401067407,ISBN_13,Störenfrieda und der Glitzerclub,Jana Frey,,,https://books.google.com/books/content?id=G-LRMgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,G-LRMgEACAAJ
das magische baumhaus band 012 auf den spuren|mary pope osborne,Das magische Baumhaus - Band 012 - Auf den Spuren,Mary Pope Osborne,false,not_found,,,,,,,,
zombie alarm|ben nevis,Zombie-Alarm,Ben Nevis,true,found,9783440136997,ISBN_13,"Die drei ??? Kids, Band 54, Zombie-Alarm (drei Fragezeichen Kids)",Ben Nevis,Juvenile Fiction,"Plötzlich erklang über ihnen ein lang gezogener Schrei. Den drei ??? fuhr der Schreck in die Glieder. Bob ließ fast das Papier fallen. ""Das kommt von Deck!"" rief Peter. ""Lasst uns lieber abhauen!"" Bei einem alten Schiffswrack finden die drei ??? eine geheimnisvolle Flaschenpost. Sie stammt von einem Schiffbrüchigen, d...",https://books.google.com/books/content?id=LI7hBgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,LI7hBgAAQBAJ
der schwarze joker|boris pfeiffer,Der schwarze Joker,Boris Pfeiffer,true,found,9783440137000,ISBN_13,"Die drei ??? Kids, Band 55, Der schwarze Joker (drei Fragezeichen Kids)",Boris Pfeiffer,Juvenile Fiction,"Peter biss sich auf die Lippen. ""Freunde!"", flüsterte er. ""Ich glaube zwar nicht an Geister, aber das hier klingt wirklich unheimlich. Könnte es sein, dass in Rocky Beach ein Geist umgeht, der sich 'Der schwarze Joker' nennt?"" Eine unheimliche Gestalt spielt den Bewohnern von Rocky Beach böse Streiche! Als auch noch T...",https://books.google.com/books/content?id=vY3hBgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,vY3hBgAAQBAJ
der kleine drache kokosnuss band 019 reist in die|ingo siegner,Der kleine Drache Kokosnuss - Band 019 - reist in die,Ingo Siegner,false,not_found,,,,,,,,
michel und klein ida aus lonneberga|astrid lindgren,Michel und Klein-Ida aus Lönneberga,Astrid Lindgren,true,found,9783789141553,ISBN_13,Michel und Klein-Ida aus Lönneberga,,,"Unfug denkt man sich nicht aus, Unfug wird von ganz allein: Die drei Geschichten handeln in Lönneberga auf Katthult. Kenner wissen, dass auf diesem Bauernhof Michel und die kleine Ida mit ihren Eltern wohnen. Und dass im kühlen Schweden solch turbulente Geschichten passieren, das würde man kaum glauben. Was immer der...",https://books.google.com/books/content?id=sO4jp1Q03WIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,sO4jp1Q03WIC
das magische baumhaus sammelband im reich der|mary pope osborne,Das magische Baumhaus - Sammelband - Im Reich der,Mary Pope Osborne,false,not_found,,,,,,,,
night school band 002 der den zweifel sat|c j daugherty,Night School - Band 002 - der den Zweifel sät,C.J Daugherty,false,not_found,,,,,,,,
tschick|wolfgang herrndorf,Tschick,Wolfgang Herrndorf,true,found,9783849009045,ISBN_13,Interpretationshilfe Deutsch: WOLFGANG HERRNDORF: Tschick,Werner Kramper,,,https://books.google.com/books/content?id=6_vGrQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,6_vGrQEACAAJ
die drei band 171 und das phantom aus dem|marco sonnleitner,Die drei ??? - Band 171- Und das Phantom aus dem,Marco Sonnleitner,false,not_found,,,,,,,,
die drei strasse des grauens band 170|kari erlhoff,Die drei ??? - Strasse des Grauens - Band 170,Kari Erlhoff,false,not_found,,,,,,,,
die drei band 169 die spur des spielers|andre marx,Die drei ??? - Band 169 - Die Spur des Spielers,André Marx,false,not_found,,,,,,,,
tiger team band 038 die stunde des hexenmeisters|thomas brezina,Tiger-Team - Band 038 - Die Stunde des Hexenmeisters,Thomas Brezina,false,not_found,,,,,,,,
tiger team band 048 der ruf der goldeule|thomas brezina,Tiger-Team - Band 048 - Der Ruf der Goldeule,Thomas Brezina,false,not_found,,,,,,,,
bretonische verhaltnisse|jean luc bannalec,Bretonische Verhältnisse,Jean-Luc Bannalec,true,found,9783462305289,ISBN_13,Bretonische Verhältnisse,Jean-Luc Bannalec,Fiction,"Ein mysteriöser Mord in der idyllischen Bretagne – Kommissar Dupin ermittelt in seinem ersten Fall voller Geheimnisse und Überraschungen! In Bretonische Verhältnisse, dem ersten Band der Krimi-Reihe von Jean-Luc Bannalec, wird der hochbetagte Inhaber des legendären Hotels Central in Pont Aven brutal erstochen. Kommiss...",https://books.google.com/books/content?id=G_RlAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,G_RlAgAAQBAJ
tafiti band 002 und das fliegende pinselohrschwein|julia boehme,Tafiti - Band 002 - und das fliegende Pinselohrschwein,Julia Boehme,false,not_found,,,,,,,,
ein fall fur kwiatkowski band 022 grosse jagd auf|jurgen banscherus,Ein Fall für Kwiatkowski - Band 022 - Grosse Jagd auf,Jürgen Banscherus,false,not_found,,,,,,,,
das buch aus atlantis|thomas brezina,das Buch aus Atlantis,Thomas Brezina,true,found,9783505131608,ISBN_13,"Ein Fall für dich und das Tiger-Team, Band 50",Thomas Brezina,,,https://books.google.com/books/content?id=XkSuNAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,XkSuNAEACAAJ
verschworung am hollenstein|thomas brezina,Verschwörung am Höllenstein,Thomas Brezina,true,found,9783505111594,ISBN_13,Verschwörung am Höllenstein,Thomas Brezina,,,https://books.google.com/books/content?id=xI8OPQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,xI8OPQAACAAJ
tiger team das verbotene labor|thomas brezina,Tiger-Team - das verbotene LABOR,Thomas Brezina,true,found,9783505130335,ISBN_13,Ein Fall für dich und das Tiger-Team,Thomas Brezina,,,https://books.google.com/books/content?id=QWrTNAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,QWrTNAEACAAJ
das magische baumhaus band 046 pandas in grosser|mary pope osborne,Das magische Baumhaus - Band 046 - Pandas in grosser,Mary Pope Osborne,false,not_found,,,,,,,,
feuerwehrgeschichten|fischer hunold alexandra,FEUERWEHRGESCHICHTEN,Fischer-Hunold Alexandra,false,not_found,,,,,,,,
liliane susewind band 007 ruckt dem wolf nicht auf|tanya stewner,Liliane Susewind - Band 007 - Rückt dem Wolf nicht auf,Tanya Stewner,false,not_found,,,,,,,,
sternenschweif band 015 das geheimnis der|linda chapman,Sternenschweif - Band 015 - Das Geheimnis der,Linda Chapman,false,not_found,,,,,,,,
sternenschweif band 027 die zauberquelle|linda chapman,Sternenschweif - Band 027 - Die Zauberquelle,Linda Chapman,false,not_found,,,,,,,,
die drei kids das ratsel der konige|ulf blanck,Die drei ??? Kids - Das Rätsel der Könige,Ulf Blanck,true,found,9783551315045,ISBN_13,Die drei ??? Kids: Das Rätsel der Könige,Ulf Blanck,Juvenile Fiction,,https://books.google.com/books/content?id=0YzdjgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0YzdjgEACAAJ
die drei kids der weihnachtsdieb|boris pfeiffer,Die drei ??? Kids - Der Weihnachtsdieb,Boris Pfeiffer,true,found,9783440505359,ISBN_13,"Die drei ??? Kids, 57, Der Weihnachtsdieb (drei Fragezeichen Kids)","Boris Pfeiffer, Ulf Blanck",Juvenile Fiction,"Justus, Peter und Bob sind beste Freunde und Detektive! Zusammen haben die drei ??? schon viele knifflige Fälle gelöst. Ganz Rocky Beach ist in Weihnachtsstimmung. Der Baum ist geschmückt und Justus, Peter und Bob können die Bescherung kaum noch erwarten. Doch plötzlich verschwinden die Geschenke! Die drei ??? Kids si...",https://books.google.com/books/content?id=2vVyEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2vVyEAAAQBAJ
der kleine drache kokosnuss band 013 und das|ingo siegner,Der kleine Drache Kokosnuss - Band 013 - und das,Ingo Siegner,false,not_found,,,,,,,,
delfine|bettina obrecht,Delfine,Bettina Obrecht,true,found,9783641122102,ISBN_13,"Erst ich ein Stück, dann du - Delfine",Bettina Obrecht,Juvenile Fiction,"Wenn das Lesen für Leseanfänger noch mühsam ist, heißt es in vielen Familien: »Lass uns gemeinsam lesen. Erst ich ein Stück, dann du. Wir wechseln uns ab.« Deswegen ist unsere beliebte Erstleser-Reihe »Erst ich ein Stück, dann du« speziell für das gemeinsame Lesen konzipiert: * Leseabschnitte für die erfahrenen Vorles...",https://books.google.com/books/content?id=3Y8bAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,3Y8bAAAAQBAJ
laden der traume band 001 das gold der piraten|dirk ahner,Laden der Träume - Band 001 - Das Gold der Piraten,Dirk Ahner,false,not_found,,,,,,,,
tod im scharengarten band 2|viveca sten,Tod im Schärengarten - Band 2,Viveca Sten,false,not_found,,,,,,,,
eisiger dienstag|nicci french,Eisiger Dienstag,Nicci French,true,found,9783641094188,ISBN_13,Eisiger Dienstag,Nicci French,Fiction,"Bei einer Routinekontrolle macht eine Sozialarbeiterin in der Wohnung der psychisch kranken Michelle Doyce einen grausamen Fund: Auf dem Sofa sitzt ein nackter Mann, der offensichtlich schon seit Tagen tot ist. Doch aus Michelle sind keine zusammenhängenden Sätze herauszubekommen. Hat sie den Mann getötet? Frustriert...",https://books.google.com/books/content?id=5jJZPiQPEEsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,5jJZPiQPEEsC
die toten von sandhamn band 3|viveca sten,Die Toten von Sandhamn - Band 3,Viveca Sten,false,not_found,,,,,,,,
erwartung band 5|jussi adler olsen,Erwartung - Band 5,Jussi Adler-Olsen,false,not_found,,,,,,,,
bretonische brandung|jean luc bannalec,Bretonische Brandung,Jean-Luc Bannalec,true,found,9783462306934,ISBN_13,Bretonische Brandung,Jean-Luc Bannalec,Fiction,"Ein raffinierter Krimi voller verblüffender Wendungen, feinsinnigem Humor und der atemberaubenden Schönheit der Glénan-Inseln - Kommissar Dupins zweiter Fall führt ihn in ein gefährliches Labyrinth von Verstrickungen. Zehn Seemeilen vor Concarneau an der bretonischen Küste: Die sagenumwobenen Glénan-Inseln wirken mit...",https://books.google.com/books/content?id=K1BmAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,K1BmAgAAQBAJ
vollendet|neal schusterman,Vollendet,Neal Schusterman,true,found,9783733600020,ISBN_13,Vollendet,Neal Shusterman,Juvenile Fiction,"Jeder hat das Recht zu leben - bis zu seinem 13. Geburtstag ... Der 16-jährige Connor hat ständig Ärger. Risa lebt in einem überfüllten Waisenhaus. Lev ist das wohlbehütete Kind strenggläubiger Eltern. So unterschiedlich die drei auch sind, eines haben sie gemeinsam: Sie sind auf der Flucht. Vor einem Staat, in dem El...",https://books.google.com/books/content?id=MUhvAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,MUhvAgAAQBAJ
anne frank das tagebuch|anne frank,Anne Frank das Tagebuch,Anne Frank,true,found,9783869926506,ISBN_13,Anne Frank,"Anne Frank, Annelies Marie Frank",Biography & Autobiography,"Das Tagebuch der Anne Frank hier in neuer Übersetzung ins Deutsche: Annelies Marie Frank, ""Anne"", wurde in Frankfurt am Main geboren. Als sie viereinhalb Jahre alt war, zog ihre Familie 1934 in die Niederlande, nachdem Adolf Hitler und die Nazipartei die Kontrolle über Deutschland übernommen hatten. Sie verbrachte die...",https://books.google.com/books/content?id=TnqwEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,TnqwEAAAQBAJ
escape band 001 fall bloss nicht auf|tim bowler,Escape - Band 001 - Fall bloss nicht auf,Tim Bowler,false,not_found,,,,,,,,
escape band 002 flieh so schnell du kannst|tim bowler,"Escape - Band 002 - Flieh, so schnell du kannst",Tim Bowler,false,not_found,,,,,,,,
escape band 003 lauf so weit du kannst|tim bowler,"Escape - Band 003 - Lauf, so weit du kannst",Tim Bowler,false,not_found,,,,,,,,
escape band 004 zeig keine angst|tim bowler,Escape - Band 004 - Zeig keine Angst,Tim Bowler,false,not_found,,,,,,,,
frostglut|jennifer estep,Frostglut,Jennifer Estep,true,found,9783492963732,ISBN_13,Frostglut,Jennifer Estep,Fiction,"Gwen ist am Ziel ihrer Träume angelangt: Endlich hat sie ein richtiges Date mit dem Spartaner Logan. Doch dann macht ihr ausgerechnet dessen Vater einen Strich durch die Rechnung. Er verhaftet Gwen und klagt sie an, mit dem Gott Loki im Bunde zu stehen und ihm die Flucht ermöglicht zu haben. Nun droht ihr nicht nur Ar...",https://books.google.com/books/content?id=lwwVAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,lwwVAwAAQBAJ
night school band 003 denn wahrheit musst du|c j daugherty,Night School - Band 003 - denn Wahrheit musst du,C.J Daugherty,false,not_found,,,,,,,,
die drei band 040 achtung spionage|henriette wich,Die drei !!! - Band 040 - Achtung Spionage,Henriette Wich,false,not_found,,,,,,,,
ich lilly und der rest der welt|alexandra maxeiner,"Ich, Lilly und der Rest der Welt",Alexandra Maxeiner,true,found,9783551315137,ISBN_13,"Ich, Lilly und der Rest der Welt",Alexandra Maxeiner,Juvenile Fiction,,https://books.google.com/books/content?id=EuDrjgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,EuDrjgEACAAJ
die drei band 042 geheimnis der alten villa|maya vogel,Die drei !!! - Band 042 - Geheimnis der alten Villa,Maya Vogel,false,not_found,,,,,,,,
piratten die schatzinsel|michael peinkofer,Piratten; Die Schatzinsel,Michael Peinkofer,true,found,9783551650757,ISBN_13,Piratten!,Michael Peinkofer,,,https://books.google.com/books/content?id=w2X3ZwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,w2X3ZwEACAAJ
die drei skandal im cafe lomo band 044|henriette wich,Die drei !!! - Skandal im Café Lomo! - Band 044,Henriette Wich,false,not_found,,,,,,,,
seekers feuer im himmel|erin hunter,"Seekers, Feuer im Himmel",Erin Hunter,true,found,9783407746559,ISBN_13,Seekers 05. Feuer im Himmel,Erin Hunter,,,https://books.google.com/books/content?id=nsPIjgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,nsPIjgEACAAJ
der kuss der gottin|aprilynne pike,Der Kuss der Göttin,Aprilynne Pike,true,found,9783641108588,ISBN_13,Der Kuss der Göttin,Aprilynne Pike,Young Adult Fiction,"Liebe, Schicksal und göttliche Macht Die 17-jährige Tavia ist ein Wunder: Sie hat als Einzige einen Flugzeugabsturz überlebt. Doch plötzlich hat sie Visionen von einem seltsam altertümlich wirkenden Jungen, der sie vor einer großen Gefahr warnt. Und bald wird sie von mysteriösen Männern verfolgt. Tavia flieht gemeinsa...",https://books.google.com/books/content?id=FS5AAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,FS5AAAAAQBAJ
traumsammler|khaled hosseini,Traumsammler,Khaled Hosseini,true,found,9783104028453,ISBN_13,Traumsammler,Khaled Hosseini,Fiction,"Der Nr.1-Spiegel-Bestseller! Millionen Leser haben auf seinen neuen Roman gewartet: In ›Traumsammler‹ erzählt Khaled Hosseini die bewegende Geschichte zweier Geschwister aus einem kleinen afghanischen Dorf. Pari ist drei Jahre alt, ihr Bruder Abdullah zehn, als der Vater sie auf einem Fußmarsch quer durch die Wüste na...",https://books.google.com/books/content?id=cApsAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,cApsAgAAQBAJ
die olchis werden fussballmeister|erhard dietl,Die Olchis - werden Fussballmeister,Erhard Dietl,true,found,9783789106835,ISBN_13,Die Olchis werden Fussballmeister,Erhard Dietl,,,https://books.google.com/books/content?id=Qf3QQwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Qf3QQwAACAAJ
monster mia band 002 und das schaurig schone|a b saddlewick,Monster Mia - Band 002 - und das schaurig-schöne,A.B Saddlewick,false,not_found,,,,,,,,
das magische baumhaus band 048 das geheimnis|mary pope osborne,Das magische Baumhaus - Band 048 - Das Geheimnis,Mary Pope Osborne,false,not_found,,,,,,,,
sternenritter band 001 die festung im all|michael peinkofer,Sternenritter - Band 001 - Die Festung im All,Michael Peinkofer,false,not_found,,,,,,,,
monster mia band 001 und das grosse furchten|a b saddlewick,Monster Mia - Band 001 - und das grosse Fürchten,A.B Saddlewick,false,not_found,,,,,,,,
60 sekunden der schrecken der tiefsee band 01|frank reifenberg,60 Sekunden - Der schrecken der Tiefsee - Band 01,Frank Reifenberg,false,not_found,,,,,,,,
beast quest band 001 ferno herr des feuers|adam blade,Beast Quest - Band 001 - Ferno Herr des Feuers,Adam Blade,false,not_found,,,,,,,,
als der weihnachtsmann vom himmel fiel|cornelia funke,Als der Weihnachtsmann vom Himmel fiel,Cornelia Funke,true,found,9783791504872,ISBN_13,Als der Weihnachtsmann vom Himmel fiel,Cornelia Funke,,,https://books.google.com/books/content?id=qPn1ZwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,qPn1ZwEACAAJ
die wilden kuken band 07 buhne frei|thomas schmid,Die wilden Küken - Band 07 - Bühne frei!,Thomas Schmid,false,not_found,,,,,,,,
die drei band 049 skandal auf dem laufsteg|mira sol,Die drei !!! - Band 049 - Skandal auf dem Laufsteg,Mira Sol,false,not_found,,,,,,,,
die drei band 051 krimi dinner|henriette wich,Die drei !!! - Band 051 - Krimi Dinner,Henriette Wich,false,not_found,,,,,,,,
die wilden kuken band 004 es spukt|thomas schmid,Die wilden Küken - Band 004 - Es spukt!,Thomas Schmid,false,not_found,,,,,,,,
die wilden huhner band 006 und das leben|thomas schmid,Die wilden Hühner - Band 006 - und das Leben,Thomas Schmid,false,not_found,,,,,,,,
der hof|simon beckett,Der Hof,Simon Beckett,true,found,9783644216419,ISBN_13,Der Hof,Simon Beckett,Fiction,"Bestsellerautor Simon Beckett von seiner besten Seite: Psychologische Hochspannung der Meisterklasse! Ein abgelegener, heruntergekommener Hof in Südfrankreich. Es ist brütend heiß. Fliegen umschwirren die grunzenden, halbwilden Schweine, die im Dreck nach Futter stöbern. In der baufälligen Scheune liegt der junge Engl...",https://books.google.com/books/content?id=_xSZAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,_xSZAgAAQBAJ
beim ersten scharenlicht band 5|viveca sten,Beim ersten Schärenlicht - Band 5,Viveca Sten,false,not_found,,,,,,,,
noah|sebastian fitzek,Noah,Sebastian Fitzek,true,found,9788490198391,ISBN_13,Noah,Sebastian Fitzek,Fiction,"El autor del best seller Terapia vuelve a electrizar a los lectores con una trama arrolladora. Él no recuerda su propio nombre. No sabe de dónde proviene. No logra recordar cómo llegó a Berlín y cuánto hace que vive en la calle. Los sin techo con los que vagabundea por la ciudad lo llaman Noah, porque lleva ese nombre...",https://books.google.com/books/content?id=Du8tBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Du8tBAAAQBAJ
endlich beliebt band 005|amy ignatow,Endlich beliebt ! - Band 005,Amy Ignatow,false,not_found,,,,,,,,
endlich beliebt band 004|amy ignatow,Endlich beliebt! - Band 004,Amy Ignatow,false,not_found,,,,,,,,
endlich beliebt band 001|amy ignatow,Endlich beliebt! - Band 001,Amy Ignatow,false,not_found,,,,,,,,
dork diaries nikki als graziose eisprinzessin|rachel russell,Dork Diaries - Nikki als graziöse Eisprinzessin,Rachel Russell,true,found,9783505128639,ISBN_13,"DORK Diaries, Band 04",Rachel Renée Russell,Juvenile Fiction,Zusammen mit ihrem Schwarm Brandon und ihren zwei allerbesten Freundinnen will Nikki das örtliche Tierheim retten. Dafür wagt sie sich sogar buchstäblich aufs Glatteis!,https://books.google.com/books/content?id=KfLnuQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,KfLnuQAACAAJ
dork diaries band 01 nikkis fabelhafte welt|rachel russell,Dork Diaries - Band 01- Nikkis fabelhafte Welt,Rachel Russell,true,found,9783505131165,ISBN_13,"DORK Diaries, Band 01",Rachel Renée Russell,Juvenile Fiction,"Neue Schule. Neue fiese Zicke. Neuer Schwarm. Neues Tagebuch ..., damit Nikki den ganzen Kram mal loswerden kann ...",https://books.google.com/books/content?id=cdp-EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,cdp-EAAAQBAJ
dork diaries nikkis glamouroses partyleben|rachel russell,Dork diaries - Nikkis glamouröses Partyleben,Rachel Russell,true,found,9783505131257,ISBN_13,"DORK Diaries, Band 05",Rachel Renée Russell,Juvenile Fiction,Eigentlich wollte Nikki als knallharte Journalistin für die Schülerzeitung „skandalöse Zustände“ und „hochbrisante Tatsachen“ aufdecken. Doch dank ihrer Erzfeindin MacKenzie landet sie stattdessen in der Ratgeberkolumne! Und damit ist das Chaos natürlich vorprogrammiert ...,https://books.google.com/books/content?id=FC6yNAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,FC6yNAEACAAJ
dork diaries nikkis guter rat in allen lebenslagen|rachel russell,Dork diaries - Nikkis guter Rat in allen Lebenslagen,Rachel Russell,true,found,9783505131868,ISBN_13,"DORK Diaries, Band 05",Rachel Renée Russell,Juvenile Fiction,"Eigentlich wollte Nikki als knallharte Journalistin für die Schülerzeitung ""skandalöse Zustände"" und ""hochbrisante Tatsachen"" aufdecken. Doch dank ihrer Erzfeindin MacKenzie landet sie stattdessen in der Ratgeberkolumne! Und damit ist das Chaos natürlich vorprogrammiert ...",https://books.google.com/books/content?id=c9p-EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,c9p-EAAAQBAJ
dork diaries band 03 mach dich zum dork|rachel russell,Dork diaries - Band 03 - Mach dich zum Dork,Rachel Russell,false,not_found,,,,,,,,
mein lotta leben band 05 ich glaub meine krote|alice pantermuller,Mein Lotta-Leben - Band 05 - Ich glaub meine Kröte,Alice Pantermüller,false,not_found,,,,,,,,
mein lotta leben band 02 wie belammert ist das|alice pantermuller,Mein Lotta-Leben - Band 02 - Wie belämmert ist das,Alice Pantermüller,false,not_found,,,,,,,,
mein lotta leben band 03 hier steckt der wurm drin|alice pantermuller,Mein Lotta-Leben - Band 03 - Hier steckt der Wurm drin!,Alice Pantermüller,false,not_found,,,,,,,,
der clan der wolfe band 001 donnerherz|kathryn lasky,Der Clan der Wölfe - Band 001 - Donnerherz,Kathryn Lasky,false,not_found,,,,,,,,
der clan der wolfe band 002 schattenkrieger|kathryn lasky,Der Clan der Wölfe - Band 002 - Schattenkrieger,Kathryn Lasky,false,not_found,,,,,,,,
tom gates band 001 wo ich bin ist chaos aber ich|liz pichon,"Tom Gates - Band 001 - Wo ich bin ist Chaos, aber ich",Liz Pichon,false,not_found,,,,,,,,
tom gates band 004 ich bin so was von genial|liz pichon,Tom Gates - Band 004 - Ich bin so was von genial,Liz Pichon,false,not_found,,,,,,,,
warrior cats 4 band 1 der vierte schuler|erin hunter,Warrior Cats - 4/Band 1 - Der vierte Schüler,Erin Hunter,false,not_found,,,,,,,,
chaos und flambierte herzen|hortense ullrich,Chaos und flambierte Herzen,Hortense Ullrich,false,not_found,,,,,,,,
gregs tagebuch band 008 echt ubel|jeff kinney,Gregs Tagebuch - Band 008 - Echt übel,Jeff Kinney,false,not_found,,,,,,,,
tafiti band 003 und das riesenbaby|julia boehme,Tafiti - Band 003 - und das Riesenbaby,Julia Boehme,false,not_found,,,,,,,,
ponyherz band 001 anni findet ein pony|usch luhn,Ponyherz - Band 001 - Anni findet ein Pony,Usch Luhn,false,not_found,,,,,,,,
ponyherz band 002 in gefahr|usch luhn,Ponyherz - Band 002 - in Gefahr,Usch Luhn,false,not_found,,,,,,,,
ein fall fur kwiatkowski band 006 die afrikanische|jurgen banscherus,Ein Fall für Kwiatkowski - Band 006 - Die afrikanische,Jürgen Banscherus,false,not_found,,,,,,,,
ein fall fur kwiatkowski band 017 detektive kusst man|jurgen banscherus,Ein Fall für Kwiatkowski - Band 017 - Detektive küsst man,Jürgen Banscherus,false,not_found,,,,,,,,
katzengeschichten|marlene jablonski,KATZENGESCHICHTEN,Marlene Jablonski,true,found,9783743204515,ISBN_13,Silbengeschichten zum Lesenlernen - Katzengeschichten,Marlene Jablonski,,,,RsxVxQEACAAJ
fussballhelden|thomas brezina,Fussballhelden,Thomas Brezina,false,not_found,,,,,,,,
die drei kids band 058 spur der drachen|ulf blanck,Die drei ??? Kids - Band 058 - Spur der Drachen,Ulf Blanck,false,not_found,,,,,,,,
im tempel des bosen|christian tielmann,Im Tempel des Bösen,Christian Tielmann,true,found,9783732012671,ISBN_13,R.O.M. (Band 3) - Im Tempel des Bösen,Christian Tielmann,Juvenile Fiction,"Drei Freunde. Unheimliche Geschehnisse. R.O.M. In Rom geschehen unheimliche Einbrüche: Immer nachts. Immer übers Dach. Immer trifft es Unschuldige. Meander und Olivia beschleicht ein schlimmer Verdacht. Steckt ihr Freund Remus dahinter, der sich immer merkwürdiger verhält? Oder vielleicht der unheimliche Gott, dem Rem...",https://books.google.com/books/content?id=3Xp3DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,3Xp3DwAAQBAJ
