title,author,isbn,matched_title,matched_author,confidence,source
Tim und Struppi - Band 019 - Tim in Tibet,Hergé,9783551015099,Tim und Struppi [...] Tim in Tibet Hergé,Hergé,0.8415,dnb
Die Schlümpfe - Band 039 - und der Schneesturm,Peyo,9783967925050,Die Schlümpfe. Band 39 Die Schlümpfe und der Schneesturm Peyo,Peyo,0.8529,dnb
Tim und Struppi - Band 017 - Der Fall Bienlein,Hergé,9783551015105,Tim und Struppi [...] Der Fall Bienlein Hergé,Hergé,0.8611,dnb
"Jim Knopf und Lukas, der Lokomotivführer",Michael Ende,9789939872803,"Jim Knopf und Lukas der Lokomotivführer, armenisch Michael Ende","Ende, Michael",0.8292,dnb
Jim Knopf & Lukas Der Lokomotivführer,Michael Ende,9783522184991,Jim Knopf & Lukas der Lokomotivführer Michael Ende,"Ende, Michael",0.8825,dnb
101 Dalmatiner,,9783845122601,101 Dalmatiner,,1.0000,dnb
Shaun das Schaf der Film,,9783641174774,Shaun das Schaf Der Film cbj,cbj,0.9231,dnb
Heidi,Johanna Spyri,9782940749874,Heidi,"Spyri, Johanna",1.0000,dnb
Der Medicus von Saragossa,Noah Gordon,9783837130270,Der Medicus von Saragossa Noah Gordon,"Gordon, Noah",0.8548,dnb
Paul Temple und der Fall Curzon,Francis Durbridge,9783844504897,Paul Temple und der Fall Curzon Francis Durbridge,"Durbridge, Francis",0.8313,dnb
Ein Paradies in Cornwall,Marcia Willett,9783863651084,Ein Paradies in Cornwall,"Willett, Marcia",1.0000,dnb
Die unendliche Geschichte,Michael Ende,9783522202602,Die unendliche Geschichte Michael Ende,"Ende, Michael",0.8452,dnb
Sonne über Wahi-Koura,Anne Laureen,9783838769110,Sonne über Wahi-Koura Anne Laureen,"Laureen, Anne",0.8227,dnb
Hugos geniale Welt,Sabine Zett,9787520715119,Hugos geniale Welt,"Zett, Sabine",1.0000,dnb
Die kleine Hexe hat Geburtstag,Lieve Baeten,9783751209281,Die kleine Hexe hat Geburtstag Lieve Baeten,"Baeten, Lieve",0.8664,dnb
"Herzlichen Glückwunsch, Sie haben gewonnen!",Dora Heldt,9783423253604,"Herzlichen Glückwunsch, Sie haben gewonnen! Roman Dora Heldt","Heldt, Dora",0.8712,dnb
Liebeschaos und lila Muffins,Hortense Ullrich,9783844906813,Liebeschaos und lila Muffins Hortense Ullrich,"Ullrich, Hortense",0.8253,dnb
Reise zum Mittelpunkt der Erde,Jules Verne,9783730616604,Reise zum Mittelpunkt der Erde Jules Verne,"Verne, Jules",0.8750,dnb
Wie man im Chaos überlebt,Pete Johnson,9783844932904,Wie man im Chaos überlebt Pete Johnson,"Johnson, Pete",0.8452,dnb
Sternenschweif - Band 006 - Freunde im Zauberreich,Linda Chapman,9783440102381,Sternenschweif 6. Freunde im Zauberreich Linda Chapman,"Chapman, Linda",0.8409,dnb
Sternenschweif - Band 005 - Sternenschweifs Geheimnis,Linda Chapman,9783440101698,Sternenschweif 5. Sternenschweifs Geheimnis Linda Chapman,"Chapman, Linda",0.8500,dnb
Das Geheimnis des Walfischknochens,Tanja Heitmann,9783837122701,Das Geheimnis des Walfischknochens Tanja Heitmann,"Heitmann, Tanja",0.8645,dnb
Geheimnis im Möwenweg,Kirsten Boie,9783862740697,Geheimnis im Möwenweg Kirsten Boie,"Boie, Kirsten",0.8227,dnb
Sternenschweif - Band 007 - Nacht der 1000 Sterne,Linda Chapman,9783440103395,Sternenschweif 7. Nacht der 1000 Sterne Linda Chapman,"Chapman, Linda",0.8376,dnb
Sternenschweif - Band 008 - Die Macht des Einhorns,Linda Chapman,9783440103852,Sternenschweif 8. Die Macht des Einhorns Linda Chapman,"Chapman, Linda",0.8409,dnb
Sternenschweif - Band 009 - Flug durch die Nacht,Linda Chapman,9783440106105,Sternenschweif 9. Flug durch die Nacht Linda Chapman,"Chapman, Linda",0.8342,dnb
Prinzässin Lillifee und de chli Drache,Monika Finsterbusch,9783037185728,Prinzässin Lillifee und de chli Drache Monika Finsterbusch,"Finsterbusch, Monika",0.8438,dnb
Vielleicht mag ich dich morgen,Mhairi McFarlane,9783732413935,Vielleicht mag ich dich morgen Mhairi McFarlane,"McFarlane, Mhairi",0.8344,dnb
Luzifer junior - Band 001 - Zu gut für die Hölle,Jochen Till,9783742401311,Luzifer junior Zu gut für die Hölle Jochen Till,"Till, Jochen",0.8269,dnb
Wir Kinder aus dem Möwenweg,Kirsten Boie,9783841506092,Wir Kinder aus dem Möwenweg Kirsten Boie,"Boie, Kirsten",0.8545,dnb
Heidi,Johanna Spyri,9782940749874,Heidi,"Spyri, Johanna",1.0000,dnb
Jim Knopf und die Wilde 13,Michael Ende,9783522185561,Jim Knopf und die Wilde 13 Michael Ende,"Ende, Michael",0.8500,dnb
Jim Knopf und Lukas der Lokomotivführer,Michael Ende,9789939872803,"Jim Knopf und Lukas der Lokomotivführer, armenisch Michael Ende","Ende, Michael",0.8292,dnb
Kleiner Eisbär - Lars und die Pandabären,,9783314105302,Kleiner Eisbär - Lars und die Pandabären Hans de Beer,"Beer, Hans de",0.8539,dnb
Der kleine Drache Kokosnuss erforscht die Steinzeit,Ingo Siegner,9783837154559,Alles klar! Der kleine Drache Kokosnuss erforscht die Steinzeit Ingo Siegner,"Siegner, Ingo",0.8571,dnb
Die Eiskönigin - völlig unverfroren,,9781503770294,Die Eiskönigin - völlig unverfroren,,1.0000,dnb
Grimm und Möhrchen machen Pause von zu Hause,Stephanie Schneider,9783742426420,Grimm und Möhrchen machen Pause von zu Hause (Teil 3) Stephanie Schneider,"Schneider, Stephanie",0.8239,dnb
Der kleine Drache Kokosnuss - fröhliche Weihnachtszeit,Ingo Siegner,9783570178164,Der kleine Drache Kokosnuss - fröhliche Weihnachtszeit Ingo Siegner,"Siegner, Ingo",0.9167,dnb
Petronella Apfelmus - Zaubertricks und Maulwurfshügel,Sabine Städing,9783785782477,"Nana Spier liest Sabine Städing, Petronella Apfelmus - Zaubertricks und Maulwurfshügel","Städing, Sabine",0.8209,dnb
Der Appenzeller Sennenhund,Yvonne Steiner,9783858822369,Der Appenzeller Sennenhund Yvonne Steiner,"Steiner, Yvonne",0.8321,dnb
Wanderparadies Appenzellerland,Marcel Steiner,9783858828514,Wanderparadies Appenzellerland 3 Marcel Steiner,"Steiner, Marcel",0.8344,dnb
13 Bauwerke die du kennen solltest,Annette Roeder,9783791340395,13 Bauwerke die du kennen solltest Annette Roeder,"Roeder, Annette",0.8645,dnb
Die 66 verrücktesten Tierstimmen der Welt,Mario Ludwig,9783835405615,Die 66 verrücktesten Tierstimmen der Welt mit CD Mario Ludwig,"Ludwig, Mario",0.8529,dnb
Kleiner Sprachatlas der deutschen Schweiz,Helen Christen,9783796554100,Kleiner Sprachatlas der deutschen Schweiz,"Friedli, Matthias",1.0000,dnb
Wanderparadies Ostschweiz,Marcel Steiner,9783858825940,Wanderparadies Ostschweiz Marcel Steiner,"Steiner, Marcel",0.8269,dnb
Die coolsten Schülerwitze der Welt,diverse,9783505129339,Die coolsten Schülerwitze der Welt,"Drews, Gerald",0.8289,dnb
Der Schweizerische Nationalpark und das Val Müstair,Heinz Staffelbach,9783859325111,Der Schweizerische Nationalpark und das Val Müstair Heinz Staffelbach,"Staffelbach, Heinz",0.8875,dnb
Der kleine Maulwurf und die tiere unter der Erde,Friederun Reichenstetter,9787535061997,"Der kleine Maulwurf und die Tiere unter der Erde, chines.","Reichenstetter, Friederun",0.9490,dnb
Hoher Norden,Daisy Gilardini,9783506705587,Hoher Norden,"Hammerich, Helmut R. R.",0.8462,dnb
Expedition zum Mars,Dorling Kindersley,9783788643362,Expedition zum Mars,"Baur, Manfred",0.8382,dnb
Verblüffende Fragen und Antworten aus Stadt und Land,Ulrike Berger,9783811234062,Verblüffende Fragen und Antworten aus Stadt und Land Text: Ulrike Berger,"Berger, Ulrike",0.8841,dnb
Der kleine Frosch und seine Freunde,Friederun Reichenstetter,9787535061997,"Der kleine Frosch und seine Freunde, chines.","Reichenstetter, Friederun",0.9318,dnb
Komm mit zu den Tierkindern!,Susanne Riha,9783219117356,Komm mit zu den Tierkindern! Susanne Riha,"Riha, Susanne",0.8545,dnb
Erforsche deine Welt,Anke M. Leitzgen,9788961770774,"Erforsche deine Welt, korean.","Leitzgen, Anke M.",0.8883,dnb
100% Abenteuer - Pferde,Florian Wagner,9787518323852,"100% Abenteuer - Pferde, chinesisch","Wagner, Florian",0.8382,dnb
"Komm, ich zeige dir die Wölfe",Svenja Ernsten,9783440166512,"Komm, ich zeige dir die Wölfe Svenja Ernsten","Ernsten, Svenja",0.8415,dnb
Das total verrückte Küchenlabor,Stefan Gates,9783831039210,Das total verrückte Küchenlabor Text: Stefan Gates,"Gates, Stefan",0.8313,dnb
Entdecke die Bionik,Bernd Hill,9783866592971,Entdecke die Bionik Bernd Hill,"Hill, Bernd",0.8316,dnb
Mein Sach- und Mach-Sommer-Buch,,9783946360148,Mein Sach- und Mach-Sommer-Buch,,1.0000,dnb
Das große Buch der Hühnerhaltung,Axel Gutjahr,9783625188476,Das große Buch der Hühnerhaltung Axel Gutjahr,"Gutjahr, Axel",0.8734,dnb
Brauchtum im Appenzellerland,Christine König,9783858828095,Brauchtum im Appenzellerland Christine König,"König, Christine",0.8333,dnb
1001 Ausflugsziele mit den schönsten KIDS Ausflügen der,Ronald Gohl,9783038127925,1001 Ausflugsziele mit den schönsten Kids Ausflügen der Schweiz Ronald Gohl,"Gohl, Ronald",0.8846,dnb
Star wars - Raumschiffe und Fahrzeuge in 3D,Lisa Katherine Regan,9783831032792,Star wars - Raumschiffe und Fahrzeuge in 3D Text Lisa Regan,"Regan, Lisa Katherine",0.8776,dnb
"Mein Geld, dein Geld",Mike Schäfer,9791188064229,"Mein Geld, dein Geld, koreanisch","Schäfer, Mike",0.8316,dnb
