title,author,isbn,matched_title,matched_author,confidence,source
Der kleine Drache Kokosnuss - Band 017 - im Weltraum,Ingo Siegner,9783570176986,Der kleine Drache Kokosnuss im Weltraum Ingo Siegner,"Siegner, Ingo",0.8350,dnb
Geschichten aus der Autowerkstatt,THiLO,9783785580820,Geschichten aus der Autowerkstatt THiLO,THiLO,0.9375,dnb
"Zimt & weg, Die vertauschten Welten der Victoria King",Dagmar Bach,9783733502430,Zimt & weg die vertauschten Welten der Victoria King Dagmar Bach,"Bach, Dagmar",0.9196,dnb
"Eulenzauber, ein goldenes Geheimnis",Ina Brandt,9783401851488,Eulenzauber. Ein goldenes Geheimnis Ina Brandt,"Brandt, Ina",0.8956,dnb
"Pippas Tagebuch, eine Freundin muss her",Annie Kelsey,9783644567214,Pippas Tagebuch. Eine Freundin muss her Annie Kelsey,"Kelsey, Annie",0.8904,dnb
"Flora Flitzebesen, Aufruhr der wilden Wetterhexen",Eleni Livanios,9783956397196,Flora Flitzebesen. Aufruhr der wilden Wetterhexen Eleni Livanios,"Livanios, Eleni",0.8986,dnb
Das Reich der sieben Höfe - Band 1 - Dornen und Rosen,Sarah J. Maas,9783423431286,Das Reich der sieben Höfe – Dornen und Rosen Roman Sarah Maas,"Maas, Sarah J.",0.8333,dnb
Henriette und der Traumdieb,Akram El-Bahay,9783764120009,Henriette und der Traumdieb Akram El-Bahay,"El-Bahay, Akram",0.8370,dnb
In einem fremden Wald,Doris Dörrie,9783423432054,In einem fremden Wald Doris Dörrie,"Dörrie, Doris",0.8227,dnb
Die Kaminski-Kids - Band 004 - Unter Verdacht,Carlo Meier,9783765538247,Die Kaminski-Kids Bd. 4. Unter Verdacht Carlo Meier,"Meier, Carlo",0.8667,dnb
Schwert und Krone - Meister der Täuschung,Sabine Ebert,9783959738965,Schwert und Krone - Meister der Täuschung Roman Sabine Ebert,"Ebert, Sabine",0.8531,dnb
Gefühlschaos beim Chatten,"THiLO,",9783473477364,Gefühlschaos beim Chatten THiLO,THiLO,0.9196,dnb
Mein Lotta-Leben - Band 12 - eine Natter macht die,Alice Pantermüller,9787201164830,"Mein Lotta-Leben Eine Natter macht die Flatter, chin.","Pantermüller, Alice",0.8376,dnb
Mein Lotta-Leben - Band 10 - der Schuh des Känguru,Alice Pantermüller,9787201164830,"Mein Lotta-Leben Der Schuh des Känguru, chin.","Pantermüller, Alice",0.8904,dnb
Lola auf Hochzeitsreise,Isabel Abedi,9783732004119,Lola auf Hochzeitsreise Isabel Abedi,"Abedi, Isabel",0.8347,dnb
"Liliane Susewind, ein kleiner Hund mit grossem Herz",,9783104006758,Liliane Susewind – Ein kleiner Hund mit großem Herz Tanya Stewner,"Stewner, Tanya",0.8496,dnb
SCHULKLASSENGESCHICHTEN,Katja Reider,9783785587010,Schulklassengeschichten Katja Reider,"Reider, Katja",0.8347,dnb
"Club der Heldinnen, Hochverrat im Internat",Nina Weger,9783837365979,Club der Heldinnen Hochverrat im Internat Nina Weger,"Weger, Nina",0.9113,dnb
Die Olchis - das Stinkersocken-Festessen,Erhard Dietl,9783789110900,Die Olchis - das Stinkersocken-Festessen Erhard Dietl,"Dietl, Erhard",0.8904,dnb
Zwischen dir und mir die Sterne,Darcy Woods,9783733602734,Zwischen dir und mir die Sterne Darcy Woods,"Woods, Darcy",0.8784,dnb
Mein Herz in zwei Welten,Jojo Moyes,9783839894224,Mein Herz in zwei Welten Jojo Moyes,"Moyes, Jojo",0.8602,dnb
Die Stunde der Schuld,Nora Roberts,9783837139167,Die Stunde der Schuld Nora Roberts,"Roberts, Nora",0.8227,dnb
Jim Knopf und Lukas der Lokomotivführer,Michael Ende,9789939872803,"Jim Knopf und Lukas der Lokomotivführer, armenisch Michael Ende","Ende, Michael",0.8292,dnb
SCHULKLASSENGESCHICHTEN,Katja Reider,9783785587010,Schulklassengeschichten Katja Reider,"Reider, Katja",0.8347,dnb
Ein Tag in der Autowerkstatt,Katharina Wieker,9783785585795,Ein Tag in der Autowerkstatt Katharina Wieker,"Wieker, Katharina",0.8253,dnb
Mein Lotta-Leben - Band 13 - wenn die Frösche zweimal,Alice Pantermüller,9787201164830,"Mein Lotta-Leben Wenn die Frösche zweimal quaken, chin.","Pantermüller, Alice",0.8529,dnb
Die Duftapotheke - Ein Geheimnis liegt in der Luft,Anna Ruhe,9783401512488,Die Duftapotheke - ein Geheimnis liegt in der Luft Anna Ruhe,"Ruhe, Anna",0.9292,dnb
Ich bin dann mal Prinzessin,Meg Cabot,9783423434003,Ich bin dann mal Prinzessin Meg Cabot,"Cabot, Meg",0.8828,dnb
"Prinzessin undercover, Geheimnisse",Connie Glynn,9783733650957,Prinzessin undercover – Geheimnisse (Band 1) Connie Glynn,"Glynn, Connie",0.8256,dnb
Mein Lotta-Leben - Band 14 - da lachen ja die Hunde,Alice Pantermüller,9787201164830,"Mein Lotta-Leben Da lachen ja die Hunde, chin.","Pantermüller, Alice",0.8929,dnb
Alea Aquarius - Band 04 - Die Macht der Gezeiten,Tanya Stewner,9783960520566,Alea Aquarius. Die Macht der Gezeiten Tanya Stewner,"Stewner, Tanya",0.8245,dnb
Die Kaminski-Kids - Band 011 - Raub in der Nacht,Carlo Meier,9783765541070,Die Kaminski-Kids [Bd. 11]. Raub in der Nacht Carlo Meier,"Meier, Carlo",0.8840,dnb
Die Kaminski-Kids - Band 003 - Hart auf hart,Carlo Meier,9783765538230,Die Kaminski-Kids Bd. 3. Hart auf hart Carlo Meier,"Meier, Carlo",0.8636,dnb
Mein liebstes Pony Flocke - Ein Pony in der Schule,Carola von Kessel,9783440157022,Mein liebstes Pony Flocke - ein Pony in der Schule von Carola von Kessel,"Kessel, Carola von",0.8602,dnb
Hexe Lilli - Band 020 - und das leuchtende Einhorn,"Knister,",9783401711898,Hexe Lilli und das leuchtende Einhorn Knister,Knister,0.8599,dnb
Die schönsten Leselöwen-Pferdegeschichten,,9783785541777,Die schönsten Leselöwen-Pferdegeschichten,,1.0000,dnb
Die schönsten Leselöwen-Weihnachtsgeschichten,,9783785575680,Die schönsten Leselöwen-Weihnachtsgeschichten Buch.,,0.9474,dnb
Die letzten Meter bis zum Friedhof,Antti Tuomainen,9783965191419,Die letzten Meter bis zum Friedhof Antti Tuomainen,"Tuomainen, Antti",0.8571,dnb
