title,author,isbn,isbn_type,matched_title,matched_author,genre,short_description,cover_url,google_id,status,from_cache
Der kleine Drache und der Monsterhund,"Inge Meyer-Dietrich, Almud Kunert",9783473385393,ISBN_13,Der kleine Drache und der Monsterhund,"Inge Meyer-Dietrich, Almud Kunert",Dogs,,https://books.google.com/books/content?id=Ww80SQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Ww80SQAACAAJ,found,false
Verrückt nach Emma,Maja von Vogel,9783781722286,ISBN_13,Verrückt nach Emma,Maja von Vogel,,Neues aus Emmas kunterbuntem Leben: Jetzt hat sie auch noch die Klassenkasse verschlampt und muss Geld verdienen ... Ab 11.,https://books.google.com/books/content?id=R1aCJwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,R1aCJwAACAAJ,found,false
Robinson Crusoe,Daniel Defoe,9786052942932,ISBN_13,Robinson Crusoe - Daniel Defoe (Stage-2),Daniel Defoe,Fiction,"R obinson Crusoe by Daniel Defoe is one of the first adventure stories ever written. It chronicles Crusoe, and eventually his servant Friday, after he becomes shipwrecked on an island. Not just a piece of literary history, Crusoe is also a thrilling tale and an excellent commentary on imperialism and the foundation of...",https://books.google.com/books/content?id=gTP-DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,gTP-DwAAQBAJ,found,false
"Viel Lärm um Lila, die fabelhaften Vier",Martina Dierks,9783841500304,ISBN_13,Die fabelhaften Vier,Martina Dierks,,,https://books.google.com/books/content?id=8ujxpwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,8ujxpwAACAAJ,found,false
Die Tore der Welt,Ken Follett,9783838701134,ISBN_13,Die Tore der Welt,Ken Follett,Architecture,"England im Jahre 1327. Vier junge Menschen versuchen in England ihr Glück zu machen: der rebellische Merthin, ein Nachfahre des großen Baumeisters Jack. Sein Bruder Ralph, der in den Ritterstand aufstrebt. Das Mädchen Caris, das sich nach Freiheit sehnt. Und Gwenda, die Tochter eines Taglöhners, die nur der Liebe folg...",https://books.google.com/books/content?id=xGWLIfT477EC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,xGWLIfT477EC,found,false
Blätterteig und Völkerball,Tony Ettlin,9783857915321,ISBN_13,Blätterteig und Völkerball,Tony Ettlin,Biography & Autobiography,"Wenige Schritte vom Dorfplatz Stans beginnt die Schmiedgasse, eine Gasse mit einem besonderen Zusammengehörigkeitsgefühl. In dieser Gasse übernahmen 1956 Tony Ettlins Eltern eine Bäckerei. Mit sorgfältig gezeichneten Erinnerungen erzählt Tony Ettlin zuerst von seinen ersten sechs Jahren auf einem Bauernhof ausserhalb...",https://books.google.com/books/content?id=NoUI0QEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,NoUI0QEACAAJ,found,false
Seelen,Stephenie Meyer,9783646926071,ISBN_13,Seelen,Stephenie Meyer,Juvenile Fiction,"Planet Erde, irgendwann in der Zukunft. Sogenannte Seelen haben sich in den Körpern der Menschen eingenistet und ihre Kontrolle übernommen. Als die Rebellin Melanie von der Seele Wanda in Besitz genommen wird, setzt sie alles daran, nicht aus ihrem Körper verdrängt zu werden. Denn Melanie hat ein Ziel: Sie will ihren...",https://books.google.com/books/content?id=oNobAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,oNobAwAAQBAJ,found,false
Der Katalane,Noah Gordon,9783641132743,ISBN_13,Der Katalane,Noah Gordon,Fiction,"Mit der Kraft des spanischen Weins Nachdem er Zeuge eines kaltblütigen Mordes wurde, versteckt sich Josep vier lange Jahre in Frankreich. Nun, zurück in seinem Heimatdorf in Katalonien, will er sich seinen Lebenstraum erfüllen: vollmundigen Wein auf dem Gut seiner Väter zu keltern. Doch die Reben sind vertrocknet, die...",https://books.google.com/books/content?id=Tm8SAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Tm8SAgAAQBAJ,found,false
Der kleine König feiert Weihnachten,"Gabriele Blum, Hedwig Munck, Markus Langer",9783837304299,ISBN_13,Der kleine König,"Gabriele Blum, Hedwig Munck, Markus Langer",,"7 neue von den 14 Buchgeschichten (BA 5/08) über den durch das TV-Sandmännchen bekannten ""kleinen König"", der zusammen mit seinen 5 Tierfreunden und seiner Cousine, der kleinen Prinzessin, manches Abenteuer besteht und Problemchen meistert. Mit Situationskomik und Sprachwitz wird von den Aufregungen der Vorweihnachtsz...",https://books.google.com/books/content?id=_LMgngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,_LMgngEACAAJ,found,false
Gepardensommer,Katja Brandis,9783401808918,ISBN_13,Gepardensommer,Katja Brandis,Young Adult Fiction,"Wenn aus einem Abenteuertrip eine Reise zu sich selbst wird! Für alle Leserinnnen, die dem Ruf der Freiheit in die weite Welt folgen wollen. Vor allem aber für alle größer gewordenen Woodwalkers-Fans. Auf Lilly wartet ein unvergessliches Erlebnis: Sie darf auf einer Farm in Namibia mitarbeiten, die sich dem Schutz der...",https://books.google.com/books/content?id=yg_ADwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,yg_ADwAAQBAJ,found,false
