title,author
Tschick,Wolfgang Herrndorf
Die drei ??? - Band 171- Und das Phantom aus dem,Marco Sonnleitner
Die drei ??? - Strasse des Grauens - Band 170,Kari Erlhoff
Die drei ??? - Band 169 - Die Spur des Spielers,André Marx
Tiger-Team - Band 038 - Die Stunde des Hexenmeisters,Thomas Brezina
Tiger-Team - Band 048 - Der Ruf der Goldeule,Thomas Brezina
Bretonische Verhältnisse,Jean-Luc Bannalec
Tafiti - Band 002 - und das fliegende Pinselohrschwein,Julia Boehme
Ein Fall für Kwiatkowski - Band 022 - Grosse Jagd auf,Jürgen Banscherus
das Buch aus Atlantis,Thomas Brezina
Verschwörung am Höllenstein,Thomas Brezina
Tiger-Team - das verbotene LABOR,Thomas Brezina
Das magische Baumhaus - Band 046 - Pandas in grosser,Mary Pope Osborne
FEUERWEHRGESCHICHTEN,Fischer-Hunold Alexandra
Liliane Susewind - Band 007 - Rückt dem Wolf nicht auf,Tanya Stewner
Sternenschweif - Band 015 - Das Geheimnis der,Linda Chapman
Sternenschweif - Band 027 - Die Zauberquelle,Linda Chapman
Die drei ??? Kids - Das Rätsel der Könige,Ulf Blanck
Die drei ??? Kids - Der Weihnachtsdieb,Boris Pfeiffer
Der kleine Drache Kokosnuss - Band 013 - und das,Ingo Siegner
Delfine,Bettina Obrecht
Laden der Träume - Band 001 - Das Gold der Piraten,Dirk Ahner
Tod im Schärengarten - Band 2,Viveca Sten
Eisiger Dienstag,Nicci French
Die Toten von Sandhamn - Band 3,Viveca Sten
Erwartung - Band 5,Jussi Adler-Olsen
Bretonische Brandung,Jean-Luc Bannalec
Vollendet,Neal Schusterman
Anne Frank das Tagebuch,Anne Frank
Escape - Band 001 - Fall bloss nicht auf,Tim Bowler
"Escape - Band 002 - Flieh, so schnell du kannst",Tim Bowler
"Escape - Band 003 - Lauf, so weit du kannst",Tim Bowler
Escape - Band 004 - Zeig keine Angst,Tim Bowler
Frostglut,Jennifer Estep
Night School - Band 003 - denn Wahrheit musst du,C.J Daugherty
Die drei !!! - Band 040 - Achtung Spionage,Henriette Wich
"Ich, Lilly und der Rest der Welt",Alexandra Maxeiner
Die drei !!! - Band 042 - Geheimnis der alten Villa,Maya Vogel
Piratten; Die Schatzinsel,Michael Peinkofer
Die drei !!! - Skandal im Café Lomo! - Band 044,Henriette Wich
"Seekers, Feuer im Himmel",Erin Hunter
Der Kuss der Göttin,Aprilynne Pike
Traumsammler,Khaled Hosseini
Die Olchis - werden Fussballmeister,Erhard Dietl
Monster Mia - Band 002 - und das schaurig-schöne,A.B Saddlewick
Das magische Baumhaus - Band 048 - Das Geheimnis,Mary Pope Osborne
Sternenritter - Band 001 - Die Festung im All,Michael Peinkofer
Monster Mia - Band 001 - und das grosse Fürchten,A.B Saddlewick
60 Sekunden - Der schrecken der Tiefsee - Band 01,Frank Reifenberg
Beast Quest - Band 001 - Ferno Herr des Feuers,Adam Blade
Als der Weihnachtsmann vom Himmel fiel,Cornelia Funke
Die wilden Küken - Band 07 - Bühne frei!,Thomas Schmid
Die drei !!! - Band 049 - Skandal auf dem Laufsteg,Mira Sol
Die drei !!! - Band 051 - Krimi Dinner,Henriette Wich
Die wilden Küken - Band 004 - Es spukt!,Thomas Schmid
Die wilden Hühner - Band 006 - und das Leben,Thomas Schmid
Der Hof,Simon Beckett
Beim ersten Schärenlicht - Band 5,Viveca Sten
Noah,Sebastian Fitzek
Endlich beliebt ! - Band 005,Amy Ignatow
Endlich beliebt! - Band 004,Amy Ignatow
Endlich beliebt! - Band 001,Amy Ignatow
Dork Diaries - Nikki als graziöse Eisprinzessin,Rachel Russell
Dork Diaries - Band 01- Nikkis fabelhafte Welt,Rachel Russell
Dork diaries - Nikkis glamouröses Partyleben,Rachel Russell
Dork diaries - Nikkis guter Rat in allen Lebenslagen,Rachel Russell
Dork diaries - Band 03 - Mach dich zum Dork,Rachel Russell
Mein Lotta-Leben - Band 05 - Ich glaub meine Kröte,Alice Pantermüller
Mein Lotta-Leben - Band 02 - Wie belämmert ist das,Alice Pantermüller
Mein Lotta-Leben - Band 03 - Hier steckt der Wurm drin!,Alice Pantermüller
Der Clan der Wölfe - Band 001 - Donnerherz,Kathryn Lasky
Der Clan der Wölfe - Band 002 - Schattenkrieger,Kathryn Lasky
"Tom Gates - Band 001 - Wo ich bin ist Chaos, aber ich",Liz Pichon
Tom Gates - Band 004 - Ich bin so was von genial,Liz Pichon
Warrior Cats - 4/Band 1 - Der vierte Schüler,Erin Hunter
Chaos und flambierte Herzen,Hortense Ullrich
Gregs Tagebuch - Band 008 - Echt übel,Jeff Kinney
Tafiti - Band 003 - und das Riesenbaby,Julia Boehme
Tiger-Team - Band 038 - Die Stunde des Hexenmeisters,Thomas Brezina
Ponyherz - Band 001 - Anni findet ein Pony,Usch Luhn
Ponyherz - Band 002 - in Gefahr,Usch Luhn
Ein Fall für Kwiatkowski - Band 006 - Die afrikanische,Jürgen Banscherus
Ein Fall für Kwiatkowski - Band 017 - Detektive küsst man,Jürgen Banscherus
KATZENGESCHICHTEN,Marlene Jablonski
Fussballhelden,Thomas Brezina
Die drei ??? Kids - Band 058 - Spur der Drachen,Ulf Blanck
Im Tempel des Bösen,Christian Tielmann
5 Sterne für Lola,Isabel Abedi
Bibi & Tina - der Tiger von Rothenbrunn,Stephan Gürtler
Finnas Pferde,Claudia Gürtler
60 Sekunden - Band 02 - Das Geheimnis der,Frank Reifenberg
Die Schule der magischen Tiere - Band 004 -,Margit Auer
Trubel auf Burg Drachenstein,Margit Auer
